Project Name,Project Source,Project Type,Project Plant Year,Project Built Year,Project Country,Project Latitude,Project Longitude,Project Function,Project Description,Project Lessons,Project Link,Project Retail Rate,Project Consumption,Project PVaPC,Project Form,Project Size,Project Cost,System Type,System Building Element,System Inverter,System Cost,System Cost Intensity,System Efficiency Comprimise,System Rating,System Coverage,System Specific Yield,System Generation Measured,System Generation Simulated,System Agreement,System Agreement Rate,System Rebate,Array Orientation(s),Array Surface(s),Array Tilt(s),Array Mount(s),Module Type(s),Module Cell Type(s),Module Products,Module Sizes(s),Module Transparency,Module Uniques,Module Cost,Fake Modules?,Data Source(s),Image Name,Economic FIT,Economic DR,Economic Price Change,Note
Novartis Pharma,Swiss BIPV Competence Center,New Construction,2008,2008,Switzerland,47.57402195,7.578466146,Office,,,,,,,,,,,Glass Roof,,,,,92.74,1300,700.8841924,,65000,,,,,Curved Glass Roof,,,Mono,Si,Schuco & Sunways,,opaque,,,,,,,,,
Ogg landwirtscraft,Swiss BIPV Competence Center,Retrofit,2013,1979,Switzerland,47.44065869,8.481082403,Agricultural,,,,,,,,,,,Pitched Roof,,,,,271.32,1740,812.0632464,,220329,,,,360,Paneled BIPV Roof,20,,Multi,Poly 156x156,JA P6-60-255,,opaque,,,,,,,,,
OpTIC Technium,Swiss BIPV Competence Center,New Construction,2008,2008,United Kingdom,53.25881447,-3.475605788,Office,,,,,,,,,,,Cold Facade,,,,,84,1000,805.1785714,,67635,,,,South,Curved Panelized Facade,c5-70,,Thin Film,CIS,Shell CIS,,opaque,,,,,,,,,
Oversea Residential,Swiss BIPV Competence Center,New Construction,2011,2011,Italy,45.21980994,12.27540333,Multi Family Residential,,,,,,,,3325,,,Accessory System,,,,,20,,750,,15000,,,,South,Paneled Facade,90,,Multi,,EnergyGlass,,opaque,,,,,,,,,
Paul Horn Arena,Swiss BIPV Competence Center,New Construction,2004,2004,Germany,48.5103979,9.042109285,Civic,,,,,,,,,,,Cold Facade,,,,,43.7,420,686.4988558,,30000,,,,Southwest,Paneled BIPV Facade,90,,Multi,Sunways green,GSS Custom,,opaque,,,,,,,,,
Ormalingen Home West,Swiss BIPV Competence Center,Retrofit,2015,1987,Switzerland,47.469894,7.878843,Single Family Residential,,,,,10200kWh/a,225,,,,,Pitched Roof,,,,,13.4,95.5,0,,,,,,West,Tiled BIPV Roof,45,,Mono,,Sunstyle SolarDach,,5,,,,,,,,,Together with the other facade 21236 generated
Ormalingen Home East,Swiss BIPV Competence Center,Retrofit,2015,1987,Switzerland,47.469894,7.878843,Single Family Residential,,,,,10200kWh/a,225,Shed,,,,Pitched Roof,,,,,13.4,95.5,0,,,,,,East,Tiled BIPV Roof,45,,Mono,,Sunstyle SolarDach,,30,,,,,,,,,Together with the other facade 21236 generated
Piz de Plaies,Swiss BIPV Competence Center,New Construction,2009,2009,Italy,46.69763288,11.92004813,Hotel,,,,,,,,,,,Accessory System,,,,,7.04,,1278.409091,,9000,,,,Southwest,Canopy BIPV,0,,Multi,,Ertex VSG 10/12,,opaque,,,,,,,,,
Kusnacht Energy Plus,Swiss BIPV Competence Center,New Construction,2009,2009,Switzerland,47.33221891,8.603185852,Single Family Residential,,,https://www.solarenergie-zuerisee.ch/solaranlagen/anlagenbeschrieb/,,,208,,,,,Pitched Roof,,,,,21.8,122,1489.449541,,32470,,,,South,Tiled BIPV Roof,10,,Mono,,Sunpower,,10,,,,,,,,,
Pompeu Fabra Library,Swiss BIPV Competence Center,New Construction,1997,1997,Spain,41.53819054,2.433635423,Civic,,,,,,,,,,,Warm Facade,,,,,20,225,750,,15000,,,,South,Glass-glass Facade,90,,Multi,,PV/T,,25,,,,,,,,,
Power Grid Control Vienna,Swiss BIPV Competence Center,New Construction,2009,2009,Austria,48.12091562,16.41765345,Office,,,,,,,,,,,Accessory System,,,,,5.5.200,,#VALUE!,,4500,,,,South,Roof Solar Control,45,,Mono,Sc-Si,,,opaque,,,,,,,,,
Home in Flum,Swiss BIPV Competence Center,Retrofit,2010,1700,Switzerland,47.096628,9.327601,Single Family Residential,,,,,,,,,,,Pitched Roof,,,,,9.5,,1052.631579,,10000,,,,170,BAPV Roof,45,,Mono,,,,30,,,,,,,,,
PV Pavilion,Swiss BIPV Competence Center,New Construction,2011,2011,Germany,52.41503227,13.04837254,Showcase,,,,,,,Box,,,,Warm Facade,,,,,7.6,146,0,,,,,,360,Paneled BIPV Facade,90,,Thin Film,CIS,Odersun CISCuT,,opaque,,,,,,,,,"builder: fachhochschule potsdam location: potsdam architects: ortner +ortner baukunst year: 2011 module surface: 146qm performance: 195wp/modul building dimensions: 34,85 x 7,35m module size: 3900x 1050x13mm module weight: ca 190kg fixing system: linearly supported, embedded modules in the mounting frame in esg-h panels. electronic concept: low-voltage concept with parallel-connected super cells, serial-connected modules"
Raeber MFH PV,Swiss BIPV Competence Center,New Construction,2010,2010,Switzerland,47.13063281,7.219001493,Multi Family Residential,,,,,,,,,,,Cold Facade,,,,,,87,#DIV/0!,,6500,,,,South West,Paneled BIPV Facade,90,,Multi,,3S Swiss Solar,,opaque,,,,,,,,,
Raeber MFH Thermal,Swiss BIPV Competence Center,New Construction,2010,2010,Switzerland,47.13063281,7.219001493,Multi Family Residential,,,,,,,,,,,Cold Facade,,,,,,13.5,#DIV/0!,,,,,,South,Sloped Thermal Panels,45,,Thermal,,Meyer Burger,,opaque,,,,,,,,,
Swiss House of Beauty,Swiss BIPV Competence Center,Retrofit,2012,1971,Switzerland,47.36913511,8.078353059,Office,,,,,,,,,,,Cold Facade,,,,,16.8,100,595.2380952,,10000,,,,South_West_East,Paneled BIPV Facade,90,,Mono,,MGT-esys PV-ISO 0.7 W/m2 and MGT-e railing sys PV,,opaque,,,,,,,,,There are two systems at play here. One a cladding and the other a spandrel panel with some light transmission
Rewe Green Building Canopy,Swiss BIPV Competence Center,New Construction,2009,2009,Germany,52.4128246,13.4929323,Commercial,,,,,,,Pavilion,,,,Accessory System,,,,,31,400,0,,,,,,Southeast,Canopy BIPV,3,,Multi,,Ertex VSG,,opaque,,,,,,,,,
Rewe Green Building Roof,Swiss BIPV Competence Center,New Construction,2009,2009,Germany,52.4128246,13.4929323,Commercial,,,,,,,,,,,Flat Roof,,,,,102,1600,0,,,,,,Southeast,BAPV Roof,3,,Multi,,Ertex VSG,,50,,,,,,,,,
Riedel Recycling,Swiss BIPV Competence Center,New Construction,2008,2008,Germany,51.4939955,6.5903314,Industrial,,,,,,,,,,,Pitched Roof,,,,,837,9500,896.0573477,,750000,,,,South,BIPV Roof,c70-45,,Thin Film,CIS,,,5,,,,,,,,,
Rifugio e Ostello Regionale,Swiss BIPV Competence Center,New Construction,2009,2009,Switzerland,46.33473,8.805111,Recreation,,,https://www.basergamozzetti.ch/node/69,,,,,,,,Flat Roof,,,,,22,360,925,,20350,,,,South,BIPV Roof,0,,Thin Film,a-Si,Membrane,,opaque,,,,,,,,,
Catholic Church in Ettingen,Swiss BIPV Competence Center,Retrofit,2013,1914,Switzerland,47.480535,7.540842,Worship,,,,,,,,,,,Pitched Roof,,,,,60,382,950,,57000,,,,South,Paneled BAPV Roof,45,,Mono,,JaSolar Jam6 255,,opaque,,,,,,,,,
RP Technik,Swiss BIPV Competence Center,Enlargement,2008,2008,Germany,51.6112396,7.7674026,Industrial,,,,,,,,,,,Warm Facade,,,,,8.4,120,411.9047619,,3460,,,,East,Paneled BIPV Facade,90,,Thin Film,CIS,Glass-glass curtain,,opaque,,,,,,,,,
MFH Romanshorn Roof,Swiss BIPV Competence Center,Retrofit,2013,1961,Switzerland,47.564212,9.3777315,Multi Family Residential,,,https://www.solaragentur.ch/node/217,,,107,,,,,Flat Roof,,,,,26.3,146,0,,,,,,None,Paneled BAPV Roof,0,,Mono,,LG 285N,,opaque,,,,,,,,,89700 with the facade
MFH Romanshorn Facade,Swiss BIPV Competence Center,Retrofit,2013,1961,Switzerland,47.564212,9.3777315,Multi Family Residential,,,https://www.solaragentur.ch/node/217,,,107,,,,,Cold Facade,,,,,53,295,0,,,,,,None,Paneled BIPV Facade,0,,Thin Film,a-Si,SANYO HIT-H250E01,,opaque,,,,,,,,,
Home in Horgen,Swiss BIPV Competence Center,Retrofit,2013,1950,Switzerland,47.2557332,8.6031053,Single Family Residential,,,,,28.5,108,,177,,,Pitched Roof,,,,,6.15,37.5,777.0731707,,4779,,,,South,Paneled BIPV Roof,45,,Mono,,,,opaque,,,,,,,,,
Home in Pratteln,Swiss BIPV Competence Center,New Construction,2002,2002,Switzerland,47.523088,7.7054482,Single Family Residential,,,https://www.solaragentur.ch/sites/default/files/2005gesamt.pdf,,36.2,,,334,,,Accessory System,,,,,3.12,,865.3846154,,2700,,,,Southwest,Solar Control,90,,Multi,mc-Si,,,15,,,,,,,,,
SG Ennstal,Swiss BIPV Competence Center,Retrofit,2011,,Austria,47.569172,14.236517,Office,,,,,,,,,,,Cold Facade,,,,,1.9,48,0,,,,,,South,Paneled BIPV Facade,90,,Multi,,Ertex VSG 8/8,,15,,,,,,,,,
Church in Halden,Swiss BIPV Competence Center,Retrofit,2010,1986,Switzerland,47.4353697,9.4132316,Worship,,,,,,,,,,,Pitched Roof,,,,,46,255,1065.217391,,49000,,,,South,Tiled BIPV Roof,60,,Mono,,Indach SunPower Solrif,,opaque,,,,,,,,,
Carport in Feldkirch-Tosters,Swiss BIPV Competence Center,New Construction,2010,2010,Austria,47.24152,9.5850961,Carport,,,,,,,,,,,Glass Roof,,,,,3.1,33,935.483871,,2900,,,,None,Glass-glass Canopy,0,,Mono,,MGT-esys Verbund,,,,,,,,,,,
Greeting to the Sun,Swiss BIPV Competence Center,New Construction,2008,2008,Croatia,44.1175921,15.2198007,Showcase,,,,,,,,,,,Flat Roof,,,,,15,380,0,,,,,,None,Glazed floor,0,,Mono,,VSG 6/12/12 walkable,,,,,,,,,,,
Wohnhaus in Zweisimmen,Swiss BIPV Competence Center,New Construction,2014,2014,Switzerland,46.5572709,7.3761149,Multi Family Residential,,,,,19,,,,,,Pitched Roof,,,,,14,130,857.1428571,,12000,,,,South,Tiled BIPV Roof,30,,Mono,,Sunstyle SolarDach,,,,,,,,,,,
Wohnhaus in Zurich,Swiss BIPV Competence Center,New Construction,2017,2017,Switzerland,47.3426333,8.5358095,Multi Family Residential,,,,,,,Rowhouses,,,,Pitched Roof & Cold Facade,,,,,74,800,608.1081081,,45000,,,,South_West,Paneled BIPV Shell,v30-90,,Mono,,Ertex Solartechnik,,,,,,,,,,,
Sport Center in Speicher,Swiss BIPV Competence Center,Retrofit,2015,1977,Switzerland,47.4117273,9.4470694,Sport,,,,,,,,,,,Pitched Roof,,,,,173.29,1100,894.4543828,,155000,,,,West_East,Paneled BIPV Roof,v5-15,,Mono,,Megasol Nicer M260 & M130,,,,,,,,,,,
Wohnhaus in Einsiedeln,Swiss BIPV Competence Center,New Construction,2012,2012,Switzerland,47.124311,8.7448795,Multi Family Residential,,,,,,,,,,,Cold Facade,,,,,,,#DIV/0!,,,,,,South,Paneled BIPV Facade,90,,Thin Film,a-Si,Solar Protect ASI 103,,,,,,,,,,,Numbers are reported in conjunction with a BAPV roof at a total of 93.25kWp yielding 84000kWh/year across 720m2 (roof) and 362m2 (facade)
School in Landshut,Swiss BIPV Competence Center,Retrofit,2009,1960,Germany,48.5424566,12.1584912,Academic,,,,,,,,,,,Cold Facade,,,,,8,78,0,,,,,,South,Paneled BIPV Facade,90,,Multi,,VSG 5/5,,,,,,,,,,,
Stadt de Suisse Phase 1,Swiss BIPV Competence Center,Retrofit,2009,2005,Switzerland,46.9631187,7.4647615,Stadium,,,,,,,Bar,,,,Pitched Roof,,,,,855,6541,818.7134503,,700000,,,,Southeast_Northwest,BAPV Roof,10,,Multi,,Kyocera KC167GH-2,,,,,,,,,,,
Stadt de Suisse Phase 2,Swiss BIPV Competence Center,Retrofit,2009,2005,Switzerland,46.9631187,7.4647615,Stadium,,,,,,,,,,,Pitched Roof,,,,,487,3586,891.2628337,,434045,,,,Southwest_Northeast,BAPV Roof,10,,Multi,,Kyocera KC175GHT-2,,,,,,,,,,,
Stadio Bentegodi,Swiss BIPV Competence Center,Retrofit,2009,1963,Italy,45.4353552,10.968328,Stadium,,,,,,,,,,,Pitched Roof,,,,,999,9600,929.9299299,,929000,,,,360,BIPV Roof,10,,Thin Film,,First Solar FS-275,,,,,,,,,,,
Wohnhaus in Watt PV,Swiss BIPV Competence Center,New Construction,2010,2010,Switzerland,47.4473978,8.47312,Multi Family Residential,,,https://www.kaempfen.com/images/050_buero/052_publikationen-auszeichnungen/Schweizer_Solarpreis_2011_watt.pdf,,31,0.8,,3580,,,Pitched Roof,,,,,104,740,850,,88400,,,,South,Tiled BIPV Roof,10,,Mono,,,,,,,,,,,,,
Wohnhaus in Hongg,Swiss BIPV Competence Center,New Construction,2001,2001,Switzerland,47.4082687,8.4909134,Multi Family Residential,,,,,,,,,,,Flat Roof,,,,,16.1,290,931.6770186,,15000,,,,South,Paneled BIPV Roof,10,,Thin Film,a-Si,Unisolar triple Junction PVL-136,,,,,,,,,,,
The Solar Settlement,Swiss BIPV Competence Center,New Construction,2000,2000,Switzerland,47.9749292,7.8292751,Multi Family Residential,,,,,,,,,,,Pitched Roof,,,,,445,,943.8202247,,420000,,,,South,Paneled BAPV Roof,30,,Multi,,,,,,,,,,,,,This is a district project
SwissTech Convention Center,Swiss BIPV Competence Center,New Construction,2008,2008,Switzerland,46.5231541,6.5645969,Civic,,,,,,,,,,,Accessory System,,,,,2,250,1000,,2000,,,,West,Solar Control,90,,3rd Gen,DSST,Solaronix LP4M,,,,,,,,,,,Multicoloured Gratzel
Sport Center Visp,Swiss BIPV Competence Center,New Construction,2012,2012,Switzerland,46.297007,7.876356,Sport,,,https://www.archdaily.com/444289/sgv-savioz-fabrizzi-architectes,,,,,,,,Pitched Roof,,,,,145,1200,900,,130500,,,,South,Tiled BIPV Roof,30,,Multi,,Kyocera KD245GH-2PB,,,,,,,,,,,
Changhua Station,Swiss BIPV Competence Center,New Construction,2015,2015,Taiwan,24.0817,120.5385,Train,,,,,,,,,,,Accessory System,,,,,99.38,1136,0,,,,,,360,Glass-glass Canopy,0,,Thin Film,Micropmorph,NexPower Custom,,,,,,,,,,,
Tobias Grau Lighting HQ,Swiss BIPV Competence Center,New Construction,1998,1998,Germany,53.630576,9.885068,Industrial,,,,,,,,4160,,,Warm Facade,,,,,18.05,179,598.3379501,,10800,,,,225,Glass-glass Facade,90,,Multi,RWE EFG poly,Sain Gobain Glass Solar,,,,,,,,,,,
Tracuit Hut,Swiss BIPV Competence Center,New Construction,2012,2012,Switzerland,46.1303273,7.6793799,Hut,,,,,,,,,,,Cold Facade,,,,,11,89,1236.363636,,13600,,,,South,Paneled BIPV Facade,80,,Mono,3S,,,,,,,,,,,,
Ales Tourist Office,Swiss BIPV Competence Center,Retrofit,2004,18th Century,France,44.1248965,4.0768415,Office,,,,,,,,,,,Cold Facade,,,,,9.6,100,625,,6000,,,,225,Paneled BIPV Facade,90,,Multi,Photowatt,Photowatt 46p,,,,,,,,,,,
Unipol Tower,Swiss BIPV Competence Center,New Construction,2011,2011,Italy,44.4960838,11.3912921,Office,,,,,,,,,,,Cold Facade,,,,,53,495,688.7358491,,36503,,,,Southwest,Paneled BIPV Facade,90,,Mono,sc-Si,,,,,,,,,,,,
Home in Langenbruck,Swiss BIPV Competence Center,Retrofit,2013,,Switzerland,47.351621,7.770822,Single Family Residential,,,,,,,,,,,Pitched Roof,,,,,5.78,65,1003.460208,,5800,,,,South,Tiled BIPV Roof,45,,Mono,,Megaslate II,,,,,,,,,,,
V-Zug Logistic Center Roof,Swiss BIPV Competence Center,New Construction,2009,2009,Switzerland,47.1821461,8.5218413,Industrial,,,,,,,,,,,Roof,,,,,251.68,1629,962.7304514,,242300,,,,East_West,BAPV Roof,15,,Multi,,Trina Solar Honey,,,,,,,,,,,
V-Zug Logistic Center Facade,Swiss BIPV Competence Center,New Construction,2009,2009,Switzerland,47.1821461,8.5218413,Industrial,,,,,,,,,,,Cold Facade,,,,,19.25,119.25,0,,,,,,210,Paneled BIPV Facade,90,,Mono,,VSGSunpower,,,,,,,,,,,
Verona Forum West Facade,Swiss BIPV Competence Center,New Construction,2010,2010,Italy,45.4126692,10.9702275,Office,,,https://www.world-architects.com/en/mario-bellini-architects-milano/project/verona-forum,,,,,,,,Double Skin Facade,,,,,20,200,1000,,20000,,,,East,Paneled BIPV Facade,90,,Mono,,Sunpower,,,,,,,,,,,
Welios Science Center Roof,Swiss BIPV Competence Center,New Construction,2011,2011,Germany,48.1540878,14.0225456,Civic,,,,,,,,,,,Glass Roof,,,,,,77,#DIV/0!,,,,,,None,Glass-glass roof,0,,Mono,,,,,,,,,,,,,
Werkhof in Mels,Swiss BIPV Competence Center,Retrofit,2011,2000,Switzerland,47.0550975,9.411236742,Office,,,,,,,,,,,Accessory System,,,,,13.5,135,740.7407407,,10000,,,,Southwest,Solar Control,90,,Thin Film,CIGS,Q-Smart UF 75,,,,,,,,,,,
Werkhof in Riehn Facade,Swiss BIPV Competence Center,Retrofit,2005,,Switzerland,47.59222967,7.655808536,Office,,,,,,,District,,,,Cold Facade,,,,,15.5,170,580,,8990,,,,South_West_East,Paneled BIPV Facade,90,,Multi,,Special Sharp Poly,,,,,,,,,,,
Werkhof in Riehn Roof,Swiss BIPV Competence Center,Retrofit,2005,,Switzerland,47.59222967,7.655808536,Office,,,,,,,Complex,,,,Flat Roof,,,,,9,,850,,7650,,,,None,BAPV Roof,0,,Mono,,Suntechnics STM 180,,,,,,,,,,,
Farm in Allscwhill,Swiss BIPV Competence Center,New Construction,2011,2011,Switzerland,47.54383402,7.550496129,Agricultural,,,,,,,Complex,,,,Pitched Roof,,,,,110.08,,950,,104576,,,,Southwest,BAPV Roof,30,,Multi,,KYOCERA KD215GH-2PU,,,,,,,,,,,
World Join Centre Facade 1,Swiss BIPV Competence Center,New Construction,2008,2008,Italy,45.490206,9.1406963,Office,,,,,,,Pitched Rectilinear,,,,Cold Facade,,,,,23,197.8,0,,,,,,190,Paneled BIPV Facade,90,,Thin Film,CIS,Wurth CIS 75W,,,,,,,,,,,Together with the other facade annual generation of 99400kWh
World Join Centre Facade 2,Swiss BIPV Competence Center,New Construction,2008,2008,Italy,45.490206,9.1406963,Office,,,,,,,,,,,Cold Facade,,,,,57,490.2,0,,,,,,150,Paneled BIPV Facade,90,,Thin Film,CIS,,,,,,,,,,,,
WSPiA School of Law and Public Administration,Swiss BIPV Competence Center,New Construction,2011,2011,Poland,50.03129536,22.01268563,Academic,,,,,,,,,,,Variety,,,,,18,200,0,,,,,,South,,90,,Multi,,VSG-ISO,,,,,,,,,,,3 Separate Facades
Zicer Building Roof,Swiss BIPV Competence Center,New Construction,2003,2003,United Kingdom,52.62167994,1.23776275,Office,,,,,100,,,,,,Pitched Roof,,,,,27.16,265,0,,,,,,East,Glass-glass roof,15,,Mono,BP Saturn,BP VSG,,,,,,,,,,,With the facade annual generation of 22650kWh
Zicer Building Facade,Swiss BIPV Competence Center,New Construction,2003,2003,United Kingdom,52.62167994,1.23776275,Office,,,,,100,,,,,,Warm Facade,,,,,6.72,85,0,,,,,,East,Glass-glass Facade,90,,Multi,BP SiN mc-Si,BP VSG,,,,,,,,,,,
Parking Deck in Zwolle,Swiss BIPV Competence Center,New Construction,2004,2004,Netherlands,52.50827995,6.101850985,Parking,,,,,,,,,,,Warm Facade,,,,,27,650,648.1481481,,17500,,,,South,Paneled BIPV Facade,90,,Thin Film,a-Si,Schott Solar,,,,,,,,,,,Self shading definitely is occuring]
Solar Energy Research Institute Singapore,BIPV SG,New Construction,,,,1.3003538,103.7714144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore Sports Hub,BIPV SG,New Construction,2014,2014,,1.3060781,103.8739622,,The PVs located in Singapore Sports Hub are an application of a Rooftop BIPV.,,,,,,,,,,rooftop,,,,,707,7000,,,,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
South Beach Tower,BIPV SG,New Construction,2016,2016,,1.2956742,103.856504,,The PVs located on South Beach Tower are an example of a Roof BIPV.,,,,,,,,,,rooftop,,,,,,285,,,,,,,,,,,,CIGS,,,,,,,,,,,,
Bedok Mall,BIPV SG,New Construction,2013,2013,,1.324764,103.9293811,,"Bedok Mall, located in the east of Singapore, is a great example of a skylight BIPV. With how it is being designed and built, it not only helps to produce energy but also saves cost when it comes to natural lighting.",,,,,,Complex,,,,rooftop,,,,,4.632,,,,,,,,,,,,,Glass glass amorphous silicon,,,,,,,,,,,,
Tanjong Pagar Centre (Guoco Tower),BIPV SG,New Construction,,,,1.277148,103.8458867,,The Tanjong Pagar Center is located in the midst of the Central Business District (CBD) Area in SIngapore. It is an example of a skylight BIPV.,,,,,,,,,,canopy,,,,,125,2600,,,,,,,,,,,,Glass glass amorphous silicon,,,,,,,,,,,,
Keppel DHCS,BIPV SG,New Construction,2012,2012,,1.3440629,103.9676076,,The Keppel DHCS is known for their Facade and Rooftop BIPVs. They were awarded the Solar Pioneer Award in 2012 and even made plans to expand the plant.,,,,,,,,,,Rooftop and Facade,,,,,550,5000,,,50000,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
BCA Zero Energy Building,BIPV SG,Retrofit,2014,2009,,1.3446136,103.8585818,,BCA has PVs retrofitted to its existing buildings. Having installed solar panels in many areas of the building will help the building achieve 100% clean renewable energy.,,,,,,,,,,Canopy and Rooftop and Facade,,,,,190,1540,,,200000,,,,,,,,,Mixed,,,,,,,,,,,,
P@rkCafeteria (Park HV),BIPV SG,New Construction,2013,2013,,1.3118225,103.7955282,,"Located in Holland Village, this little cafeteria consist of 72 pieces of solar modules that will generate up to 15Mwh of power annually.",,,,,,,,,,Rooftop,,,,,12,,,,15000,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
Marina Bay City Gallery,BIPV SG,New Construction,2010,2010,,1.2802854,103.8564524,,The Marina Bay City Gallery is an example of a skylight BIPV in Singapore.,,,,,,,,,,Canopy,,,,,32,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
7 & 9 Tampines Grande,BIPV SG,New Construction,2009,2009,,1.3555239,103.9415312,,The Tampinese Grande buildings are known for the Facade adn Roof BIPV. They have been awarded the LEED Gold Award for their green innovation.,,,,,,,,,,Rooftop,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,
7 & 9 Tampines Grande,BIPV SG,New Construction,2009,2009,,1.3555239,103.9415312,,The Tampinese Grande buildings are known for the Facade adn Roof BIPV. They have been awarded the LEED Gold Award for their green innovation.,,,,,,,,,,Facade,,,,,6,150,,,,,,,,,,,,,,,,,,,,,,,,
CleanTech One,BIPV SG,New Construction,2010,2010,,1.3550641,103.692296,,The CleanTech One is an example of a skylight BIPV where it can harvest up to a capacity of 230kWp.,,,,,,,,,,Rooftop skylight,,,,,230,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
People's Association,BIPV SG,New Construction,2007,2007,,1.3085594,103.8593134,,"The People's Association located in King George Avenue, is inspired by the idea of a ""rain tree with outreach foliage"".",,,,,,Shed,,,,Rooftop skylight,,,,,30,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
68 Jalan Bumbong,BIPV SG,New Construction,,,,1.4155609,103.7593428,,"Along the roads of Jalan Bumbong, there is a resident whose house partially depends on skylight PV for energy to power their house.",,,,,,,,,,Canopy Skylight,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
16 Sime Road,BIPV SG,New Construction,,,,1.3361768,103.8192723,,It is known to be unusual for residential units to change their rooftops to BIPV skylight.,,,,,,,,,,Canopy skylight,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
BIOPOLIS,BIPV SG,Research,2004,NA,,1.3038352,103.7922343,,The BIPV that is located in the BIOPOLIS is a facade BIPV. It is made by a special glass module on the facade through a test bedding project.,,,,,,,,,,Facade,,,,,20,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
Jurong Carpark,BIPV SG,New Construction,,,,1.3331432,103.7422807,,"Located on the west side of Singapore, there are PVs located on the roofs of shelters in a carpark.",,,,,,,,,,Canopy,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
Waterfront Promenade Breeze Shelter,BIPV SG,New Construction,,,,1.2806916,103.8548655,,These shelters can be found along the sides of the Marina Boulevard.,,,,,,,,,,Canopy,,,,,4,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
Daito University Itabashi Campus,BIPV SG,New Construction,2003,2003,,35.7821722,139.6682864,,"Daito University consists of Facade and Skylight BIPVs. It's transparency is high as it allow huge amount of sunlight to shine through. This not only reduces the usage of electricity to power light, but provides natural sunlight",,,,,,,,,,Skylight and Facade,,,,,,750,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
Itoman Cityhall,BIPV SG,New Construction,2002,2002,,26.1235405,127.6658564,,The Itoman Cityhall is an advantage as its location is ideal to harvest energy as it is located on a plot of land with no other buildings or structures blocking the building.,,,,,,,,,,Louver,,,,,196,,,,,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
Tokyo Stadium (Ajinomoto Stadium),BIPV SG,New Construction,2001,2001,,35.6642692,139.5271507,,Ajinomoto stadium was previously known as Tokyo stadium and it is a multi-purpose stadium.,,,,,,Church,,,,Skylight,,,,,266,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
Kirin Beer Yokohama Factory,BIPV SG,New Construction,2015,2015,,35.4914311,139.6691446,,Kirin Beer Brewery bought over the building that you see in the images.,,,,,,,,,,Facade,,,,,3.6,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
MSK Nagano Factory,BIPV SG,New Construction,2004,2004,,36.2688875,138.5030559,,MSK Nagano Factory is known as the world's largest PV module manufacturing plant with a production capacity of 100MW.,,,,,,,,,,Rooftop,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,
MSK Nagano Factory,BIPV SG,New Construction,2004,2004,,36.2688875,138.5030559,,MSK Nagano Factory is known as the world's largest PV module manufacturing plant with a production capacity of 100MW.,,,,,,,,,,Facade,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Sanyo Solar Ark,BIPV SG,New Construction,2002,2002,,35.3309109,136.6712264,,"Located in the midst of the streets of Anpachi, Sanyo, stands a ark-shaped building owned by Panasonic.<br>It is a solar photovoltaic power generation facility of solar power generation which benefits both ecology and science.",,,,,,,,,,Facade,,,,,630,3294.8,,,530000,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
Tokyo Institute of Technology,BIPV SG,New Construction,2012,2012,,35.605122,139.6835297,,The Greater Tokyo Area in Japan is home to the largest institution for higher education in Japan which is dedicated to science and technology and its known to be one of the most prestigious universities in Japan.,,,,,,,,,,Facade,,,,,650,,,,,,,,,,,,,Mixed,,,,,,,,,,,,
Business Investment & Consultant Building (Shingawa Intercity),BIPV SG,New Construction,1998,1998,,35.6263284,139.7420583,,The Business Investment & Consultant Building is known to the first ever BIPV building that has been built in Japan. It was built in 1998.,,,,,,,,,,Tracking Louvre,,,,,20,,,,,,,,,,,,,Glass-glass monocrystalline,,,,,,,,,,,,
AIST Open Space Lab,BIPV SG,New Construction,2001,2001,,35.6185873,139.7770234,,AIST Tokyo waterfront is managed to integrate scientific and engineering knowledge to address socio-economic needs.,,,,,,,,,,Rooftop,,,,,300,,,,,,,,,,,,,Monocrystalline silicon,,,,,,,,,,,,
Kanazawa Station,BIPV SG,New Construction,2005,2005,,36.5780456,136.6481714,,The Kanazawa Station is a great example of a rooftop and skylight BIPV.,,,,,,,,,,Rooftop and Skylight,,,,,100,,,,,,,,,,,,,Monocrystalline silicon and thin film,,,,,,,,,,,,
